id;date;author;rating;version;title;review
14045782418;2026-05-09T09:28:05-07:00;B50226;5;3.0.29;Top;Super
14041013721;2026-05-08T03:16:17-07:00;CATSA604;5;3.0.29;Super App;Funktioniert alles super und ist echt einfach zu bedienen.
14024655430;2026-05-03T11:07:41-07:00;Stefan Bayer;1;3.0.29;UX einfacher nicht gut;Teilen Button geht seit 3 Wochen nicht mehr. Suchfunktion auch schlecht, muss immer Google Suchbegriff plus Bauhaus nutzen um Produkte im Sortiment zu finden.\nWürde mir wünschen, dass die UX merklich verbessert wird.
14020969841;2026-05-02T11:05:18-07:00;Der Bär18;5;3.0.29;Sehr gut;Die App ist sehr gut organisiert.
14019176770;2026-05-02T00:26:56-07:00;IHRIGPH;5;3.0.29;Bewertung;Gut und übersichtlich
14012382720;2026-04-30T04:18:30-07:00;pacokeku;5;3.0.28;Alles ohne Probleme;Ich kaufe oder bestelle gerne bei Bauhaus ein grade über die App ist alles unkompliziert
14002954445;2026-04-27T09:31:28-07:00;Dijarw;1;3.0.28;Schlecht;Die App stürzt immer wieder ab keine Nutzung möglich wenn man detailliert etwas suchen möchte
13994858499;2026-04-25T02:52:48-07:00;Ralf aus S.;1;3.0.28;Anmeldung mit Apple nicht möglich;Ich versuche öfters mich mit Apple und Passkey über die App anzumelden. Nichts funktioniert. Auch die App gelöscht und neu installiert funktioniert nicht. \nÜber den Browser läuft alles einwandfrei. Also liegt es eindeutig an der App. \nHabe das aktuellste iPhone und die aktuellste Software (26.4.2)
13977421142;2026-04-20T00:30:59-07:00;Schnitzelpacker;5;3.0.27;Super;Sehr übersichtlich
13970100045;2026-04-18T00:13:46-07:00;IROON-MAAAN;1;3.0.27;Kassenbon Scan funktioniert kaum noch;Die Funktion „Digitaler Kassenbon“ ist aktuell extrem unzuverlässig. Wenn der Bon automatisch erkannt wird, klappt es – sobald die App jedoch nach dem Bruttobetrag fragt, funktioniert die Erfassung fast nie. Zusätzlich bleiben fehlerhafte Bons in der App hängen und lassen sich trotz Bestätigung nicht löschen, wodurch auch kein erneuter Scan möglich ist. Insgesamt wirkt der gesamte Scan-Prozess aktuell fehlerhaft und nicht ausgereift.
13968255339;2026-04-17T11:13:57-07:00;katjune7;3;3.0.27;Leider viele Baustellen in der App;Der Hauptgrund für die Bauhaus-App ist die fehlende Preisauszeichnung vor Ort. Andernfalls müsste ich permanent einen Angestellten neben mir haben, da die Preisauszeichnung wirklich zu wünschen übrig lässt.\n\nMein Kassenbon lässt sich leider gar nicht mehr einscannen, da erscheint immer ein Fehler. Warum bei den eingescannten Bons die ältesten zuerst angezeigt werden, ist mir ein Rätsel. Die sind nun wirklich am unwichtigsten.\n\nBei der Merkliste warte ich bereits seit Jahren auf die Möglichkeit mehr als eine anzulegen. Und das, obwohl dort immer „Merkliste (1)“ steht. Vllt fehlt es an fähigen Entwicklern.\n\nAußerdem ist leider generell die Sortierung der Artikel sehr schlecht. Da weiche ich des Öfteren auf die Webseite aus, dort gibt es wenigstens einen Pfad.\n\nIch mag mein Bauhaus sehr, die App ist leider gut gemeint aber schlecht gemacht. Schade.
13960924444;2026-04-15T09:03:09-07:00;Cassandra30ffm;1;3.0.27;Pawel;Katastrophe – in dieser App funktioniert nichts richtig. \nSogar die Sachen, die ich gekauft habe, werden nicht nach Kaufdatum sortiert.
13960046126;2026-04-15T04:01:53-07:00;Waldwanderer;1;3.0.27;Kein Login möglich;In der App ist kein Login möglich. Es erscheint immer nur die Meldung\n\nFehler \nEtwas ist schief gelaufen. Bitte versuche es erneut.\n\nÜber den Web Login ist das einloggen möglich. Selbst die Neuinstallation und ein Passwort Wechsel ergab keinen Erfolg. \n\nEigentlich sehr schade!
13959966426;2026-04-15T03:28:07-07:00;Alanodoug;2;3.0.27;Kassenbons nichtmehr vorhanden;Ziemlich schlimm die Bons zu finden. Keine Sortierung verfügbar und auch der Support ist auch schlecht. Das einzig gute ist, das ich sehe wo welche Artikel in den Regalen stehen.
13954270386;2026-04-13T10:16:14-07:00;Stefan BV;2;3.0.26;Geht notgedrungen aber nicht gut;Wollte zum aussuchen des Baumaterials die Bauhaus App nutzen, aber das ist echt eine Zumutung.\nArtikel die vor einem im Laden liegen— nicht in der App! \nVerfügbare Mengen auch oftmals falsch.\n\nWas allerdings richtig schlecht ist: Bei der Suche von Artikeln findet man zu viele „falsche“ Produkte will man die Suche mit weiteren Worten präzisieren findet die App noch viel mehr Artikel die mit den gesuchten Artikeln noch viel weniger zu tun haben. \n\nDas frustriert bei der Planung von Projekten und führt bei mir dazu, die Planung und den Einkauf bei der Orangenen Konkurrenz ein paar Kilometer entfernt zu machen. Preise sind ja meist identisch.\n\nDie App dringend verbessern oder neu machen auch fürs iPad, die Konkurrenz kann es ja auch.
13946097283;2026-04-11T04:27:06-07:00;Michl-1-2-3;5;3.0.26;Gute App;Funktioniert gut. Bin echt zufrieden.
13932242114;2026-04-07T06:42:49-07:00;Der Ollo;3;3.0.26;Einkaufsliste seit Update durcheinander;Leider ist beim letzten Update was schief gegangen. Die neusten Bons sind nun irgendwo in der Liste und nicht mehr gut zu finden. Sonst eigentlich ne nette APP.
13927502427;2026-04-05T21:44:07-07:00;Wer schreibt, der bleibt.;1;3.0.26;Was soll mir die App bringen?;Was soll mir die App bringen, wenn es nur Vorteile für gewerbliche Kunden gibt? In anderen Baumärkten gibt es auch eine Kundenkarte für nicht gewerbliche Kunden, wo man auf jedem Einkauf ein paar Prozent Rabatt bekommt.
13926094303;2026-04-05T11:35:06-07:00;Oleole 86;3;3.0.26;Produktbilder;Eigentlich eine klasse App, leider sind in der Suche die Bilder so klein und damit kaum zu erkennen, schade.
13921937960;2026-04-04T08:19:13-07:00;Dueemme;5;3.0.26;Top;Toll
13903294166;2026-03-30T05:49:37-07:00;خلیی خوب;5;3.0.25;￼ sehr geehrte;Sehr geehrte Frau
13895188311;2026-03-27T23:24:14-07:00;eXotioN86;3;3.0.25;Super!;Die App ist mittlerweile klasse!\nWas mir jedoch aufgefallen ist: man gibt an „abholbereit in (Dein Markt)“. Es werden Produkte angezeigt und wenn man dann auf das Produkt geht, wird einem der Bestand von 0 angezeigt am ausgewählten Baumarkt.\nDer Fehler verschwand erst, wenn man die App aus dem Speicher des iPhone nimmt.
